"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL45";"MELATONIN";"4.0";"232.28";"0";"1.86";"melatonin";"COc1ccc2[nH]cc(CCNC(C)=O)c2c1";"Ki";"'='";"0.39";"nM";"9.41";"";"";"UO_0000065";"40.51";"0.76";"7.55";"17.39";"1";"CHEMBL866344";"Displacement of 2-[125I]iodomelatonin from human recombinant MT1 receptor expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148634";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307716";"";"";""
"CHEMBL206471";"";"None";"326.44";"0";"3.52";"13d";"COc1ccc2c(c1)c(C1(CNC(=O)C3CC3)CCCC1)cn2C";"Ki";"'='";"468.0";"nM";"6.33";"";"";"UO_0000065";"19.39";"0.36";"2.81";"14.63";"0";"CHEMBL866344";"Displacement of 2-[125I]iodomelatonin from human recombinant MT1 receptor expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148634";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307716";"";"";""
"CHEMBL206419";"";"None";"328.46";"0";"3.92";"13c";"CCCC(=O)NCC1(c2cn(C)c3ccc(OC)cc23)CCCC1";"Ki";"'='";"589.0";"nM";"6.23";"";"";"UO_0000065";"18.97";"0.35";"2.31";"14.40";"0";"CHEMBL866344";"Displacement of 2-[125I]iodomelatonin from human recombinant MT1 receptor expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148634";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307716";"";"";""
"CHEMBL210791";"";"None";"260.34";"0";"2.43";"(-)6a";"COc1ccc2c(c1)c(C(C)CNC(C)=O)cn2C";"Ki";"'='";"7.71";"nM";"8.11";"";"";"UO_0000065";"31.16";"0.58";"5.68";"18.75";"0";"CHEMBL866344";"Displacement of 2-[125I]iodomelatonin from human recombinant MT1 receptor expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148634";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307716";"";"";""
"CHEMBL4128481";"";"None";"327.39";"0";"2.72";"(S)-3";"COc1ccc2c(N[C@@H](C)Cc3cc(C)[nH]n3)ncnc2c1OC";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4122619";"Inhibition of human MT1A at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4118152";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL45";"MELATONIN";"4.0";"232.28";"0";"1.86";"MLT";"COc1ccc2[nH]cc(CCNC(C)=O)c2c1";"Intrinsic activity";"'='";"1.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL903005";"Intrinsic activity at human cloned MT1 receptor expressed in rat NIH3T3 cells after 30 mins by [35S]GTP-gamma-S binding assay relative to melatonin";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138357";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307716";"";"";""
"CHEMBL238049";"";"None";"324.42";"0";"3.75";"3m";"COc1cccc(N(CCNC(=O)C2CCC2)c2ccccc2)c1";"Ki";"'='";"323.59";"nM";"6.49";"";"";"UO_0000065";"20.00";"0.37";"2.74";"15.61";"0";"CHEMBL903003";"Displacement of 2-[125I]iodomelatonin from human cloned MT1 receptor expressed in rat NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138357";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307716";"";"";""
"CHEMBL396132";"";"None";"209.24";"0";"1.21";"5";"COc1cccc(OCCNC(C)=O)c1";"Intrinsic activity";"'='";"0.83";"";"";"";"";"";"";"";"";"";"0";"CHEMBL903005";"Intrinsic activity at human cloned MT1 receptor expressed in rat NIH3T3 cells after 30 mins by [35S]GTP-gamma-S binding assay relative to melatonin";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138357";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307716";"";"";""
"CHEMBL136273";"";"None";"246.31";"0";"1.34";"5 (R-isomer)";"CC(=O)N[C@@H]1CCN(c2cccc3c2CCO3)C1";"Ki";"'='";"202.0";"nM";"6.70";"";"";"UO_0000065";"27.18";"0.51";"5.35";"16.10";"0";"CHEMBL715946";"Binding affinity against human MT1 melatonin receptor expressed in NIH3T3 cells.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136485";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3307716";"";"";""
"CHEMBL314512";"";"None";"321.38";"0";"3.95";"24";"C=CC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12";"pC1";"'='";"4.699";"";"";"";"";"";"";"";"";"";"0";"CHEMBL713260";"Binding affinity against Melatonin receptor type 1A";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147462";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL188016";"";"None";"376.50";"0";"4.71";"5a";"CC(=O)N[C@H]1CCN(c2cccc3oc(CCCCc4ccccc4)cc23)C1";"Ki";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"20.34";"0.37";"2.95";"16.84";"0";"CHEMBL828981";"Inhibition of 2-[125I]iodomelatonin binding to membrane preparations of NIH3T3 cells stably expressing human Melatonin receptor type 1A";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137903";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"CHEMBL3307716";"";"";""
"CHEMBL444857";"";"None";"251.35";"0";"2.24";"101";"CC(=O)NCCCc1cccc2c1SCCO2";"IC50";"'='";"158.49";"nM";"6.80";"";"";"UO_0000065";"27.05";"0.55";"4.56";"17.74";"0";"CHEMBL856174";"Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.";"B";"BAO_0000019";"assay format";"Ovis aries";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131168";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL344866";"";"None";"281.31";"0";"2.96";"65";"CC(=O)NCC1=C(c2ccccc2)Oc2ccccc2O1";"IC50";"'='";"31622.78";"nM";"4.50";"";"";"UO_0000065";"16.00";"0.29";"1.54";"9.46";"0";"CHEMBL856174";"Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.";"B";"BAO_0000019";"assay format";"Ovis aries";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131168";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL113692";"";"None";"233.27";"0";"1.18";"79";"COc1ccc2ncn(CCNC(C)=O)c2c1";"IC50";"'='";"3162.28";"nM";"5.50";"";"";"UO_0000065";"23.58";"0.44";"4.32";"9.80";"0";"CHEMBL856174";"Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.";"B";"BAO_0000019";"assay format";"Ovis aries";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131168";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL288300";"";"None";"313.44";"0";"4.48";"2";"CCCCCCC(=O)NCCc1cccc2ccc(OC)cc12";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"12.76";"0.24";"-0.48";"10.44";"0";"CHEMBL856174";"Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.";"B";"BAO_0000019";"assay format";"Ovis aries";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131168";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL518113";"";"None";"363.46";"0";"4.08";"23";"CCC(=O)NCCc1cc(-c2cccc(CO)c2)cc2ccc(OC)cc12";"Ki";"'='";"125.0";"nM";"6.90";"";"";"UO_0000065";"18.99";"0.35";"2.82";"11.79";"0";"CHEMBL987963";"Displacement of 2-[125I]iodomelatonin from human MT1 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144204";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"CHEMBL3307715";"";"";""
"CHEMBL441664";"";"None";"273.33";"0";"3.20";"47";"CCCC(=O)NOCc1cccc2ccc(OC)cc12";"IC50";"'='";"3.981";"nM";"8.40";"";"";"UO_0000065";"30.73";"0.57";"5.20";"17.66";"0";"CHEMBL856174";"Melatonin receptor type 1A binding affinity measured using 2-[125I]iodomelatonin on ovine pars tuberalis membrane homogenates.";"B";"BAO_0000019";"assay format";"Ovis aries";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131168";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL276490";"";"None";"374.48";"0";"4.33";"21d";"COc1ccc2c(c1)c(CCNC(=O)C1CCC1)c1n2CCc2ccccc2-1";"Ki";"'='";"437.0";"nM";"6.36";"";"";"UO_0000065";"16.98";"0.31";"2.03";"14.70";"0";"CHEMBL715945";"Binding affinity towards recombinant human melatonin receptor type 1A expressed in NIH 3T3 cells using 2-[121I]iodomelatonin radioligand binding assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133600";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307716";"";"";""
"CHEMBL300195";"";"None";"277.28";"0";"1.76";"5";"COc1ccc2[nH]cc(CCNC(C)=O)c2c1[N+](=O)[O-]";"Ki";"'='";"1060.0";"nM";"5.97";"";"";"UO_0000065";"21.55";"0.41";"4.21";"6.14";"0";"CHEMBL713259";"Inhibition of 2-[125I]iodomelatonin binding to human Melatonin receptor type 1A expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135933";"1";"Scientific Literature";"J Med Chem";"2002";"CHEMBL3307715";"";"";""
"CHEMBL10328";"";"None";"318.42";"0";"4.13";"5c";"CCCC(=O)NCCc1c2n(c3ccccc13)Cc1ccccc1-2";"Ki";"'='";"174.0";"nM";"6.76";"";"";"UO_0000065";"21.23";"0.38";"2.63";"19.86";"0";"CHEMBL715945";"Binding affinity towards recombinant human melatonin receptor type 1A expressed in NIH 3T3 cells using 2-[121I]iodomelatonin radioligand binding assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133600";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307716";"";"";""
"CHEMBL316952";"";"None";"232.28";"0";"1.86";"5c";"COc1cccc2cc(CCNC(C)=O)[nH]c12";"pRA";"'='";"-4.23";"";"";"";"";"";"";"";"";"";"0";"CHEMBL715957";"Negative logarithm of relative affinity against human Melatonin receptor type 1A";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131096";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL316952";"";"None";"232.28";"0";"1.86";"5c";"COc1cccc2cc(CCNC(C)=O)[nH]c12";"Relative affinity";"'='";"17000.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL715951";"IC50 to IC50 of Melatonin(MLT)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131096";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL1784685";"";"None";"442.47";"0";"4.63";"9m";"COc1ccc(-c2ccn(-c3ccc(C(=O)O)c(O)c3)c2-c2ccc(C(N)=O)cc2C)cc1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL1785767";"Inhibition of human recombinant MT1 receptor at 10 uM by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1781986";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";""
"CHEMBL1223198";"";"None";"267.39";"0";"3.09";"(S)-16e";"CCCC(=O)NC[C@H](C)Sc1cccc(OC)c1";"Ki";"'='";"3.89";"nM";"8.41";"";"";"UO_0000065";"31.45";"0.64";"5.32";"21.94";"0";"CHEMBL1227855";"Displacement of [125I]iodomelatonin from human cloned MT1 receptor expressed in rat NIH3T3 cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221295";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307716";"";"";""
"CHEMBL1223195";"";"None";"251.33";"0";"2.38";"(S)-16d";"CCCC(=O)NC[C@H](C)Oc1cccc(OC)c1";"Ki";"'='";"3.09";"nM";"8.51";"";"";"UO_0000065";"33.86";"0.65";"6.13";"17.89";"0";"CHEMBL1227855";"Displacement of [125I]iodomelatonin from human cloned MT1 receptor expressed in rat NIH3T3 cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221295";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307716";"";"";""
"CHEMBL1223193";"";"None";"251.33";"0";"2.38";"16d";"CCCC(=O)NCC(C)Oc1cccc(OC)c1";"Ki";"'='";"4.169";"nM";"8.38";"";"";"UO_0000065";"33.34";"0.64";"6.00";"17.62";"0";"CHEMBL1227855";"Displacement of [125I]iodomelatonin from human cloned MT1 receptor expressed in rat NIH3T3 cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221295";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"CHEMBL3307716";"";"";""
"CHEMBL429392";"";"None";"498.62";"1";"5.20";"5";"CC(=O)NCCc1cccc2ccc(OCCCOc3ccc4cccc(CCNC(C)=O)c4c3)cc12";"Kb";"'='";"5.32";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL714102";"Antagonist potency against effect of melatonin (30 nM) determined by [35S]GTP gamma-S binding assay using CHO cell lines for Melatonin receptor type 1A";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136735";"1";"Scientific Literature";"J Med Chem";"2003";"CHEMBL3308072";"";"";""
"CHEMBL394408";"";"None";"336.44";"0";"4.30";"8c";"CCCC(=O)NCCc1c[nH]c2c(-c3ccccc3)cc(OC)cc12";"Ki";"'='";"954.99";"nM";"6.02";"";"";"UO_0000065";"17.89";"0.33";"1.72";"11.12";"0";"CHEMBL894558";"Displacement of 2[125I]iodomelatonin from human recombinant MT1 receptor expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148025";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"CHEMBL3307716";"";"";""
"CHEMBL80736";"";"None";"301.39";"0";"3.32";"13";"CCOc1ccc2ccc(OC)cc2c1CCNC(=O)CC";"Ki";"'='";"0.39";"nM";"9.41";"";"";"UO_0000065";"31.22";"0.58";"6.09";"19.78";"0";"CHEMBL715947";"Displacement of 2-[125I]iodomelatonin from human Melatonin receptor type 1A expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130532";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"CHEMBL3308072";"";"";""
"CHEMBL330969";"";"None";"364.49";"0";"4.85";"44";"CCC(=O)NCCCc1cccc2nc(CCCCc3ccccc3)oc12";"Ki";"'='";"0.76";"nM";"9.12";"";"";"UO_0000065";"25.02";"0.46";"4.27";"16.54";"0";"CHEMBL713115";"Binding affinity against human Melatonin receptor type 1A by using 2-[125I]iodomelatonin as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1945";"Melatonin receptor 1A";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146812";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
